2021-06-21 일일 확진자  5명

2021-06-22 일일 확진자  17명

2021-06-23 일일 확진자  20명

2021-06-24 일일 확진자  24명

2021-06-25 일일 확진자  31명

2021-06-26 일일 확진자  9명

2021-06-27 일일 확진자  26명

2021-06-28 일일 확진자  26명

2021-06-29 일일 확진자  15명

2021-06-30 일일 확진자  15명

2021-07-01 일일 확진자  29명

2021-07-02 일일 확진자  41명

2021-07-03 일일 확진자  28명

2021-07-04 일일 확진자  26명

2021-07-05 일일 확진자  27명

2021-07-06 일일 확진자  33명

2021-07-07 일일 확진자  52명

2021-07-08 일일 확진자  59명

2021-07-09 일일 확진자  62명

2021-07-10 일일 확진자  59명

2021-07-11 일일 확진자  45명

2021-07-12 일일 확진자  45명

2021-07-13 일일 확진자  65명

2021-07-14 일일 확진자  63명

2021-07-15 일일 확진자  54명

2021-07-16 일일 확진자  57명

2021-07-17 일일 확진자  69명

2021-07-18 일일 확진자  71명

2021-07-19 일일 확진자  48명

2021-07-20 일일 확진자  97명

2021-07-21 일일 확진자  107명

2021-07-22 일일 확진자  116명

2021-07-23 일일 확진자  118명

2021-07-24 일일 확진자  110명

2021-07-25 일일 확진자  89명

2021-07-26 일일 확진자  63명

2021-07-27 일일 확진자  100명

2021-07-28 일일 확진자  82명

2021-07-29 일일 확진자  78명

2021-07-30 일일 확진자  75명

2021-07-31 일일 확진자  61명

2021-08-01 일일 확진자  72명

2021-08-02 일일 확진자  66명

2021-08-03 일일 확진자  93명

2021-08-04 일일 확진자  105명

2021-08-05 일일 확진자  111명

2021-08-06 일일 확진자  100명

2021-08-07 일일 확진자  171명

2021-08-08 일일 확진자  138명

2021-08-09 일일 확진자  90명

2021-08-10 일일 확진자  149명

2021-08-11 일일 확진자  118명

2021-08-12 일일 확진자  163명

2021-08-13 일일 확진자  184명

2021-08-14 일일 확진자  144명

2021-08-15 일일 확진자  122명

2021-08-16 일일 확진자  84명

2021-08-17 일일 확진자  122명

2021-08-18 일일 확진자  130명

2021-08-19 일일 확진자  137명

2021-08-20 일일 확진자  87명

2021-08-21 일일 확진자  118명

2021-08-22 일일 확진자  71명

2021-08-23 일일 확진자  64명

2021-08-24 일일 확진자  83명

2021-08-25 일일 확진자  84명

2021-08-26 일일 확진자  65명

2021-08-27 일일 확진자  73명

2021-08-28 일일 확진자  63명

2021-08-29 일일 확진자  71명

2021-08-30 일일 확진자  39명

2021-08-31 일일 확진자  61명

2021-09-01 일일 확진자  77명

2021-09-02 일일 확진자  64명

2021-09-03 일일 확진자  50명

2021-09-04 일일 확진자  39명

2021-09-05 일일 확진자  52명

2021-09-06 일일 확진자  34명

2021-09-07 일일 확진자  32명

2021-09-08 일일 확진자  35명

2021-09-09 일일 확진자  38명

2021-09-10 일일 확진자  34명

2021-09-11 일일 확진자  44명

2021-09-12 일일 확진자  36명

2021-09-13 일일 확진자  35명

2021-09-14 일일 확진자  45명

2021-09-15 일일 확진자  58명

2021-09-16 일일 확진자  52명

2021-09-17 일일 확진자  53명

2021-09-18 일일 확진자  46명

2021-09-19 일일 확진자  47명

2021-09-20 일일 확진자  46명

2021-09-21 일일 확진자  38명

2021-09-22 일일 확진자  25명

2021-09-23 일일 확진자  28명

2021-09-24 일일 확진자  47명

2021-09-25 일일 확진자  51명

2021-09-26 일일 확진자  42명

2021-09-27 일일 확진자  29명

2021-09-28 일일 확진자  51명

2021-09-29 일일 확진자  49명

2021-09-30 일일 확진자  46명

2021-10-01 일일 확진자  43명

2021-10-02 일일 확진자  34명

2021-10-03 일일 확진자  37명

2021-10-04 일일 확진자  42명

2021-10-05 일일 확진자  43명

2021-10-06 일일 확진자  48명

2021-10-07 일일 확진자  35명

2021-10-08 일일 확진자  27명

2021-10-09 일일 확진자  34명

2021-10-10 일일 확진자  45명

2021-10-11 일일 확진자  28명

2021-10-12 일일 확진자  39명

2021-10-13 일일 확진자  49명

2021-10-14 일일 확진자  31명

2021-10-15 일일 확진자  23명

2021-10-16 일일 확진자  36명

2021-10-17 일일 확진자  33명

2021-10-18 일일 확진자  40명

2021-10-19 일일 확진자  32명

2021-10-20 일일 확진자  30명

2021-10-21 일일 확진자  41명

2021-10-22 일일 확진자  42명

2021-10-23 일일 확진자  35명

2021-10-24 일일 확진자  25명

2021-10-25 일일 확진자  33명

2021-10-26 일일 확진자  40명

2021-10-27 일일 확진자  49명

2021-10-28 일일 확진자  48명

2021-10-29 일일 확진자  41명

2021-10-30 일일 확진자  62명

2021-10-31 일일 확진자  55명

2021-11-01 일일 확진자  55명

2021-11-02 일일 확진자  28명

2021-11-03 일일 확진자  80명

2021-11-04 일일 확진자  59명

2021-11-05 일일 확진자  56명
